name	LWR	fract	aLWR	afract	taxopath
query_68	0.03453	0.6294	0.04196	0.7648	cluster_IV;d__Archaea;p__Halobacterota
query_1956	0.05738	0.8792	0.05738	0.8792	cluster_IV;d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpeton thalassium
query_1620	0.05024	1	0.05024	1	cluster_IV;d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium_A;s__Chlorobium_A phaeobacteroides
query_4200	0.06943	0.7719	0.06943	0.7719	cluster_IV;d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpeton thalassium
query_1779	0.01751	0.3889	0.01751	0.3889	cluster_I;d__Bacteria;p__Proteobacteria;c__Magnetococcia;o__Magnetococcales;f__Magnetococcaceae;g__Magnetococcus;s__Magnetococcus marinus
query_1267	0.009352	0.4727	0.0155	0.7836	cluster_IV;d__Bacteria
query_1659	0.005475	1	0.005475	1	DISTANT
query_1636	0.1125	0.5212	0.1125	0.5212	DISTANT
query_2151	0.2684	0.7442	0.2684	0.7442	cluster_IV;d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_4631	0.09405	0.5088	0.1429	0.7734	cluster_IV;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales
query_4904	0.007426	0.78	0.007608	0.7991	cluster_IV
query_4340	0.04388	0.247	0.04388	0.247	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_4563	0.3966	0.59	0.3966	0.59	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Kordiimonadaceae;g__GCA-2401685;s__
query_3114	0.1311	0.4521	0.162	0.5588	cluster_III;d__Bacteria
query_278	0.08485	0.6726	0.1023	0.8108	cluster_III;d__Bacteria
query_608	0.004012	1	0.004012	1	DISTANT
query_1629	0.1056	0.5554	0.1056	0.5554	DISTANT
query_1691	0.0243	0.4709	0.0243	0.4709	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
